ProcessName,RegionName,Unit,2018,2020,2022,2024,2026,2028,2030,2032,2034,2036,2038,2040,2042,2044,2046,2048,2050
CSP without Storage,Egypt,PJ/y,3285.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gas Power Plant (CCGT),Egypt,PJ/y,5133294.1175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gas Power Plant (SCGT),Egypt,PJ/y,91213.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Large Hydropower Plant (Dam) (>100MW),Egypt,PJ/y,532170.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Light Fuel Oil Power Plant,Egypt,PJ/y,159528.36000000002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Medium Hydropower Plant (10-100MW),Egypt,PJ/y,29565.000000000004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oil Fired Gas Turbine (SCGT),Egypt,PJ/y,175200.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Onshore Wind,Egypt,PJ/y,65043.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Solar PV (Utility),Egypt,PJ/y,3285.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
