Power Generation Technology,Year,Value,Parameter
Light Fuel Oil Power Plant,2015,39.48,Estimated Installed Capacity (MW)
Oil Fired Gas Turbine (SCGT),2015,177.75,Estimated Installed Capacity (MW)
Off-grid Solar PV,2015,0.17,Estimated Installed Capacity (MW)
Light Fuel Oil Power Plant,2016,39.48,Estimated Installed Capacity (MW)
Oil Fired Gas Turbine (SCGT),2016,177.75,Estimated Installed Capacity (MW)
Off-grid Solar PV,2016,0.17,Estimated Installed Capacity (MW)
Light Fuel Oil Power Plant,2017,39.48,Estimated Installed Capacity (MW)
Oil Fired Gas Turbine (SCGT),2017,177.75,Estimated Installed Capacity (MW)
Off-grid Solar PV,2017,0.17,Estimated Installed Capacity (MW)
Light Fuel Oil Power Plant,2018,39.48,Estimated Installed Capacity (MW)
Oil Fired Gas Turbine (SCGT),2018,177.75,Estimated Installed Capacity (MW)
Off-grid Solar PV,2018,0.17,Estimated Installed Capacity (MW)
